78,80,2040,-50,20,23,
78,68,2055,-28,31,4,
77,71,2067,-39,30,-37,
74,67,2046,6,33,-15,
77,67,2055,23,32,32,
73,67,2049,78,39,4,
79,83,2040,103,37,-22,
79,94,2061,74,41,11,
80,91,2042,96,46,35,
75,104,2052,89,31,-1,
66,115,2053,78,15,-20,
76,116,2043,88,21,-1,
74,124,2052,65,31,22,
81,133,2053,47,22,5,
75,130,2046,29,16,-17,
83,136,2053,4,26,-2,
78,133,2055,0,29,29,
72,136,2043,1,18,7,
69,142,2055,-43,7,-31,
74,128,2051,-54,19,-9,
74,122,2046,-40,11,38,
73,124,2050,-51,7,6,
79,124,2049,-59,0,-35,
73,121,2053,-59,-3,1,
85,114,2052,-49,5,23,
79,117,2047,-57,1,-6,
78,118,2049,-81,-8,-24,
80,109,2040,-64,-3,8,
86,107,2044,-43,15,12,
70,122,2068,-223,63,-76,
54,28,2056,-389,52,-85,
35,-90,2034,-29,72,-11,
-8,-77,2049,23,32,-47,
-16,-115,2065,-50,-20,-66,
-26,-201,2030,177,-39,-76,
-28,-236,2037,217,-86,-187,
-10,-328,2055,193,-107,-283,
14,-470,2059,313,-142,-201,
13,-648,2006,833,-88,-194,
20,-757,1985,1373,34,-140,
-28,-780,1990,1846,112,133,
-158,-790,1919,2358,171,483,
-332,-747,1888,3221,131,571,
-508,-529,1849,3929,-232,441,
-590,-219,1837,4187,-701,582,
-587,156,1841,4266,-1077,742,
-578,562,1834,3923,-1543,589,
-532,867,1829,3431,-1933,464,
-459,1089,1813,2857,-2299,467,
-388,1198,1843,2124,-2640,221,
-330,1127,1851,1295,-3157,-52,
-196,839,1826,734,-3605,-143,
-30,403,1778,647,-3924,-293,
230,11,1765,883,-3630,-760,
487,-314,1674,2037,-3262,-961,
665,-368,1680,2854,-3200,-221,
865,-248,1659,3650,-2703,90,
868,-11,1661,4086,-2550,231,
888,185,1550,4840,-1897,360,
760,594,1749,4465,-1504,500,
599,872,1592,4561,-1323,464,
419,1130,1554,4260,-1409,268,
262,1375,1623,3794,-1895,280,
229,1505,1605,3365,-2526,77,
364,1575,1674,2908,-3047,-386,
585,1534,2114,2782,-3611,-57,
1076,1761,2055,1289,-3672,576,
1448,1530,809,2475,-3059,223,
1610,1679,2059,586,-1932,-1299,
1696,1308,1654,1526,-1334,120,
1576,1165,1498,1448,-791,856,
1400,1352,1844,1200,-159,-232,
1319,1273,1421,1963,204,46,
1128,1568,1727,1126,7,891,
1054,1687,1607,1045,-210,95,
1136,1760,1566,840,-433,-669,
1354,1918,1622,293,-695,54,
1612,1957,1587,137,-636,404,
1871,2110,1635,-422,-56,-391,
2131,2157,1660,-598,1135,-161,
2190,2381,1561,-365,2317,823,
2078,2897,1661,-1857,3422,154,
1905,2967,1630,-3129,4254,-848,
1582,2710,1485,-4745,4602,289,
1260,2097,1577,-6477,5271,51,
804,1265,1602,-6742,5313,-301,
456,601,1032,-6161,5002,121,
172,478,1435,-5717,4663,294,
-35,109,1155,-4743,4143,-588,
-2,115,1529,-4479,3479,-857,
163,13,1395,-3255,3012,145,
435,275,1563,-2736,3168,-232,
680,606,1696,-3035,3628,-1074,
822,805,1607,-3390,4146,-257,
758,914,1611,-4091,4722,400,
531,923,1558,-4192,4924,-425,
502,756,1216,-3589,5255,-467,
299,792,1638,-4929,5274,334,
-41,727,1467,-4628,5195,-295,
-249,631,1376,-5009,5112,-1092,
-392,622,1606,-5367,4735,-476,
-489,424,1358,-5311,4289,-242,
-359,367,1646,-5554,3766,-658,
-64,289,1301,-5379,4136,-1637,
214,361,1753,-6977,4837,-113,
19,-24,1477,-7252,5357,1299,
-399,-417,1388,-7164,5633,-564,
-716,-825,1303,-6376,5384,-1289,
-839,-1085,1345,-5256,4819,335,
-1031,-1097,1589,-4624,4256,756,
-1220,-1099,1537,-3695,3761,-1033,
-1242,-1090,1325,-2693,3431,-1204,
-1357,-781,1642,-3366,2937,328,
-1489,-539,1471,-2653,2513,-589,
-1435,-256,1303,-2968,2082,-1835,
-1174,72,1680,-3783,1717,-747,
-980,164,1420,-4415,1645,-302,
-769,222,1614,-5682,1829,-1615,
-548,-113,1402,-6639,2067,-1321,
-449,-652,1304,-7206,2551,-119,
-588,-1249,1216,-7222,3128,-617,
-825,-1879,1102,-6754,3587,-1051,
-1189,-2459,1061,-5783,3604,-40,
-1677,-2840,1049,-4428,3328,297,
-2147,-3007,1064,-2949,2673,-314,
-2465,-2947,1157,-1602,1702,-83,
-2387,-2194,1277,540,-1025,-499,
-2387,-2194,1277,622,-1387,-497,
-2070,-2111,1253,849,-1936,-97,
-1823,-2107,1249,1177,-2254,-140,
-1625,-2149,1245,1625,-2422,-527,
-1480,-2187,1285,2061,-2480,-149,
-1467,-2210,1234,2747,-2683,296,
-1561,-2241,1592,3240,-3094,119,
-1580,-2442,570,5222,-3427,-647,
-1546,-2070,1495,4812,-3794,-640,
-1614,-2112,861,6226,-4454,91,
-1594,-1811,1232,6408,-5012,-90,
-1513,-1726,840,7611,-5534,-609,
-1313,-1389,1023,7788,-6054,-315,
-1128,-1148,795,8488,-6535,46,
-866,-770,984,8357,-6855,-389,
-511,-506,891,8629,-6808,-650,
-143,-187,1010,8301,-6589,-322,
209,127,1077,8061,-6030,-332,
460,444,1212,7435,-5477,-372,
665,718,1387,6583,-4817,11,
719,857,1457,5679,-4147,320,
650,920,1640,4700,-3706,361,
561,817,1653,4005,-3316,-67,
467,621,1707,3354,-2961,-103,
341,314,1645,3216,-2704,394,
81,-31,1607,3601,-2972,431,
21,-140,1688,3822,-2978,-199,
2,-328,1398,5010,-3329,464,
44,-98,1590,5324,-3681,321,
250,196,1487,5970,-3766,-432,
524,597,1511,6162,-3615,-385,
769,1114,1735,5364,-3395,437,
924,1414,1581,4487,-2950,588,
847,1452,1681,3554,-2523,-121,
694,1238,1761,2839,-2417,14,
569,814,1552,3010,-2347,635,
364,569,1684,3055,-2363,106,
310,364,1494,3867,-2284,-579,
271,392,1551,4247,-2762,79,
439,630,1429,4282,-2725,228,
422,742,1455,4385,-2880,43,
405,909,1483,4236,-3306,259,
522,1020,1352,4251,-3526,315,
643,1215,1392,4084,-3671,-7,
828,1272,1402,4375,-3260,-181,
898,1685,1442,4398,-3625,309,
1112,1851,1315,3153,-3794,35,
1355,2002,1545,2922,-3363,-422,
1583,1868,1311,2655,-3067,-148,
1724,2077,1536,2255,-2604,132,
1844,2072,1335,2330,-1966,33,
1805,2329,1670,1286,-1689,212,
1852,2316,1401,1158,-1135,447,
1821,2381,1581,144,-715,219,
1779,2262,1493,-206,-386,158,
1791,2171,1489,-708,-32,255,
1834,2122,1423,-867,338,199,
1922,2150,1374,-1076,857,41,
2036,2318,1483,-1645,1539,348,
2044,2309,1304,-1883,2138,574,
2069,2394,1478,-2766,2958,125,
2032,2227,1315,-3067,3753,-170,
2035,2175,1397,-4297,4882,-86,
1811,1868,1117,-5068,5429,404,
1546,1520,1251,-5087,6247,751,
1096,1320,1122,-5104,6900,-169,
628,1211,1148,-5454,6919,-309,
202,1007,1065,-5461,6711,442,
-255,817,1136,-5459,6033,95,
-520,592,1191,-5135,5163,-933,
-527,423,1325,-4992,4243,-315,
-469,307,1405,-4569,3567,58,
-327,311,1453,-4025,3007,-949,
-1,433,1572,-3861,2632,-1043,
379,558,1558,-3674,2667,-162,
611,755,1634,-3942,2901,-453,
824,878,1581,-4092,3447,-1152,
930,983,1607,-4755,4023,-752,
933,1007,1567,-5278,4659,-247,
819,971,1430,-5772,5358,-701,
563,915,1473,-6562,5728,-754,
332,735,1299,-7022,6164,3,
-57,532,1258,-7623,6295,-45,
-494,177,1159,-7858,6008,-368,
-775,-201,1216,-7896,5720,41,
-1042,-580,1189,-7418,5226,279,
-1223,-842,1310,-6897,4507,-344,
-1212,-1093,1303,-5971,3714,-498,
-1072,-1176,1418,-5189,3050,167,
-927,-1140,1432,-4256,2687,127,
-695,-933,1515,-3859,2365,-607,
-309,-719,1264,-3133,2433,-600,
58,-253,1654,-4092,3131,-25,
